Class,Train Samples,Class %,Test Accuracy,Accuracy - Overall,Accuracy - Balanced
truck,50,0.4029658284977434,0.502,-0.1986,-0.1985999999999999
ship,83,0.6689232753062541,0.496,-0.2046,-0.2045999999999999
horse,139,1.1202450032237266,0.479,-0.22160000000000002,-0.2215999999999999
frog,232,1.8697614442295294,0.716,0.01539999999999997,0.01540000000000008
dog,387,3.118955512572534,0.643,-0.057599999999999985,-0.057599999999999874
deer,646,5.206318504190844,0.775,0.07440000000000002,0.07440000000000013
cat,1077,8.679883945841393,0.688,-0.012600000000000056,-0.012599999999999945
bird,1797,14.482591876208897,0.807,0.10640000000000005,0.10640000000000016
automobile,2997,24.15377176015474,0.96,0.25939999999999996,0.2594000000000001
airplane,5000,40.29658284977434,0.94,0.23939999999999995,0.23940000000000006
